location,product,tender_number,tender_name,tender_company
"Тибетский автономный район, район Али, округ Планд",проект по охлаждению тепловых насосов в рамках демонстрационного проекта «Нулевой углерод» для хранения тепловой энергии на снежном плато Ali 150 МВт.,CGN-20230217001,Закупки,Чайна Хинэ
провинция Шаньдун,Винтовые насосы,SKLOT134HbCGN 20230427005-N1,,Чайна Инжиниринг лимитед
"Пекин, Тойота",двенадцатый пункт 12-го секвенирования 2023-го комплекса новых источников энергии,CGN-202305240013,Объявление о торгах на двенадцатый пункт 12-го секвенирования 2023-го комплекса новых источников энергии,Энергетическая компания Dun State Company.
"Пекин, Тойота",Матрица комплексной автоматизированной системы электроснабжения 2023 года,CGN-202304060017,,Чайна Хинэ
Гонконгский автономный округ,Оборудование для фильтрации воды,CGN-20221115003,Проект BT LOT7B Оборудование для фильтрации воды (номер тендера: CGN-20221115003),Хинонжиниринг лимитед
"Хунань, муниципалитет Чжоу",оборудование для шахматных электростанций,CGN-20230522004,"Закупка (перезакупка) оборудования для шахматных электростанций в рамках проекта Ветер, проект Наньцзян, проект Наньцзян, проект Закупка",
"Янцзы, провинция Гуандун",Проект оптимизации процесса охлаждения ядерно-энергетических установок в Янцзыне и VVP,CGN-202212020007,,Jiangian
"Пекин, Тойота",сбор фотоэлектрических компонентов,CGN-20230710008,,Чайна Хинэ
"Янцзы, провинция Гуандун",экспериментальная платформа по электрической и электрической реле Янцзы,CGN-202305260004-N1,,
провинция Шаньдун,Система измерения RIC,CGN-202211140008,Проект LOT104H,Чайна Хинси
"префектура Сычуань, муниципалитет Гуаньюань, округ Шин",проектирование (перезакупка),CGN-202303230004-N1,Объявление конкурса на проектирование (перезакупка),Синьцзян
провинция Шаньдун,Проект SK LOT110,CGN-20221024002,,Чайна Инжиниринг лимитед
,,,,
река Ляонин,"система мониторинга нефтепродуктов компании &lt; &lt; Красная речка &gt; &gt; , CRF, 1-2",CGN-202305170003,,Красная речка
Автономный район Гуанси-Шань,Проект BT LOT190Cc (перезакупка),CGN-20220928003-N1,,Чайна Хинон инжиниринг лтд.
провинция Шаньдун,экстренный фильтрационный насос,SKLOT134ECGN,Насосы для экстренного реагирования (перезакупка),Чайна Хинэ
Гуандун,Экспериментальная техническая услуга по эксплуатации морских ветровых электростанций и сети в порту Хиросимы,CGN-202304230007,,Чайна Инжиниринг лимитед
провинция Шаньдун,Основной пар выбрасывает изолирующие клапаны,CGN-20230406009,Проект SK LOT190Ce Основной пар выбрасывает изолирующие клапаны,Чайна инжиниринг лимитед
"Синьцзян-Уйгурский автономный округ, Алтайский район, Гимуна",Комплексный проект 35kV по строительству и установке коробок (раздел B),CGN-202208230002-N1,Проект 35kV Комплексный проект 35kV по строительству и установке коробок (раздел B),Синьцзян
 ,Проект SK LOT130B RRI/ECS/AAS (перезакупка),CGN-202303080001-N1,тендерное объявление (Контингент: CGN-202303080001-N1),Чайна Инжиниринг лимитед
Фуцзянь,Устройства охлаждающие насосы,CGN-20230110002,,Чайна Инжиниринг лимитед
