location,product,tender_number,tender_name,tender_company
"Чунцин, Чунцин, Китай",оборудования для замены коробок в 2023 году в рамках проекта,CGN-20230320002,,Чунцин
"Синьцзян-Уйгурский автономный округ, Баян-Монгольский автономный округ, Жуан",кабельного оборудования,CGN-20230717003,,Си-Эн-Энтерпрайз
Ляонин; Далянь; Вау,оборудования для проведения анализа и предварительной обработки образцов на передней станции Красная речка ,CGN-202303020004-N1,,Atomic Energy Ltd.
"Пекин, Тойота",сбор матрицы оборудования для хранения энергии (3 тендера),CGN-20230713007,,
"провинция Джилин, Белый город, Гранд-Ан",Проект по временному удалению маршрута 220 кВ на базе СУГК,CGN-202305310006,Отдел. В рамках этого проекта уже имеются условия для проведения торгов и в настоящее время проводятся открытые торги.,Белая энергетика
Гуандун,Изучение долгосрочной производительности HIC,CGN-20221117001,Проект TYR по теме долгосрочного исследования производительности HIC,Шэньчжэнь Шэньчжэнь
"префектура Гуйчжоу, автономный округ Минамбуйи, префектура Гуйтинг","55 МВт ветряные дороги, платформы, фонограммы и коробки",CGN-202306140012,,Чжоу ветряная энергетика
"Шэньчжэнь, провинция Гуандун",Закупка подключенного к проекту оборудования (перезагрузка),CGN-20230309003-N1,,
Гуандун,,CGN-20221205003-N1,Утвержден проект LOT87C &lt; &lt; К1 &gt; &gt; ,Чайна Хинси
Чжэцзян,Проект BJ LOT140Cl ( труба HDPE и приложение),CGN-202212280003-N1,Проект проекта LOT140Cl (Прокладки и приложения),Чайна инжиниринг лимитед
город Тайбэй провинции Шаньдун,Проект CW Первый проект по обеспечению безопасности при взрыве (номер тендера: CGN-202304120004),CGN-202304120004,Проект CW Первый проект по обеспечению безопасности при взрыве (номер тендера: CGN-202304120004),Саенто
,,,,
провинция Шаньдун,BOP-завод,CGN-20230619006,Проект проекта SK LOT10A (BOP-завод),Чайна инжиниринг лтд.
Гуандун,"Устройство для мониторинга концентраций водорода в защищенной оболочке корпуса LOT101T для проекта &lt; &lt; Земля &gt; &gt; , проект 5, проект &lt; &lt; Земля &gt; &gt; (номер тендера: CGN-20230407006)",CGN-20230407006,,Чайна Хинэ
