location,product,tender_number,tender_name,tender_company
,,,,
провинция Шаньдун,Проект SK LOT190Cb Austrian SK LOT190Cb Austoms Corporate and Corporate of Main System,CGN-202304130003-N1,,
"Янцзы, провинция Гуандун",экспериментального оборудования для оси проекта,CGN-202301120004-N1,,Чайна Хино
"Вэньчжоу, Чжэцзян",Проект по созданию и техническому обслуживанию подсистемы управления измерениями проекта CS,CGN-20230216002,Объявление предложений по созданию и обслуживанию проектной подсистемы управления измерениями проекта CS,Чайна Инжиниринг лимитед
"префектура Сычуань, муниципалитет Гуаньюань, округ Шин",220 кВ ветровую площадку для проекта 220 кВ,CGN-202306020007,,
,,,,
"префектура Сычуань, муниципалитет Чжоучжоу, префектура Гуань",,,,
"Чунцин, округ Чунцин",оборудование для компенсации за неустойчивость в Чжунцине,CGN-20230314009,,
"Автономный район Гуанси-Шань, муниципалитет Хэбэй, муниципалитет",Закупка в рамках проекта &lt; &lt; Ветряная башня &gt; &gt; для проекта &lt; &lt; Наземный ветер &gt; &gt; в районе Гуанси в 2023 году (третий пункт - западный регион Гуанси),CGN-202306080010,Глава I. Объявление предложений,Чайна Хиросима
"Ляонин, Далянь, Вау",Строительство береговой дороги и автостоянки в южном районе Японской электростанции,CGN-202307100010,Объявление тендера на строительство береговой дороги и автостоянки в южном районе Японской электростанции,< < Ляонин > >
провинция Шаньдун,Электрогенератор LOT40,CGN-20230207005,Проект CW &lt; &lt; Электрогенератор LOT40 &gt; &gt; ,Чайна Хинон инжиниринг лтд.
Гуандун,Инженерно-техническая служба экологического мониторинга,CGN-20230310006,Объявление тендера на услуги по мониторингу окружающей среды в рамках проекта &lt; &lt; Тайпин &gt; &gt; (2023 - 2025),Чайна Хинонжиниринг лимитед
Шаньдун,Насосы по водоснабжению на важнейших заводах,CGN-20230316002,Проект SK LOT134C Насосы по водоснабжению на важнейших заводах (проект тендера No CGN-20230316002),Чайна Инжиниринг лимитед
провинция Шаньдун,механическая вентиляционная башня,CGN-20230608001,Проект CW LOT150Ag,Чайна энжиниринг лтд.
Гуандун,Устройства для освещения на АЭС LOT82B,CGN-20230526001,,Чайна Хинэ
"Пекин, Тойота",фотоэлектрические подвесок в восточном (Северном) крыле компании &lt; &lt; Нинпо восток &gt; &gt; ,CGN-20230105004,,Нимбо
Пекин,шкафы безопасности и внутренние приложения для системы DCS-контроля на атомной электростанции,CGN-202304100011,,Хинли инжиниринг
